Operator,Operator,Total
American Airways,American Airways,9
American Eagle,American Eagle,4
American Export Airlines,American Export Airlines,1
American Express Leasing,American Express Leasing,1
American Flyers Airline,American Flyers Airline,1
American International Airways,American International Airways,1
American Jet,American Jet,1
American Overseas Airlines,American Overseas Airlines,1
American Virginia,American Virginia,1
Ameriflight,Ameriflight,4
Ameristar Jet Charter,Ameristar Jet Charter,3
Amphibians,Amphibians,1
Anchorage Helicopter - Air Taxi,Anchorage Helicopter - Air Taxi,1
Angola Air Charter,Angola Air Charter,1
Ansett ANA,Ansett ANA,4
Ansett Airlines of Papua New Guinea,Ansett Airlines of Papua New Guinea,1
Ansett New Zealand,Ansett New Zealand,1
Antilles Air,Antilles Air,2
Antillian Airlines,Antillian Airlines,1
Antillies Air - Air Taxi,Antillies Air - Air Taxi,1
Apache Airlines - Air Taxi,Apache Airlines - Air Taxi,1
Apline Aviation,Apline Aviation,1
Aquilla Airways,Aquilla Airways,1
Arall,Arall,1
Aramar,Aramar,1
Aramco Associated Company,Aramco Associated Company,1
Ararat Avia,Ararat Avia,1
Arax Airlines,Arax Airlines,1
Aray-Avia,Aray-Avia,1
Archana Airlines,Archana Airlines,1
ArctiCircle Air Service,ArctiCircle Air Service,1
ArctiPacific,ArctiPacific,1
ArctiTransportation Services,ArctiTransportation Services,1
ArctiWings & Rotors,ArctiWings & Rotors,1
Argentina CAA,Argentina CAA,1
Ariana Afghan Airlines,Ariana Afghan Airlines,9
Armavia,Armavia,1
Aroostook Air - Air Taxi,Aroostook Air - Air Taxi,1
Arrow Airlines,Arrow Airlines,1
Arrow Airways,Arrow Airways,1
Arsenyev Aviation Production Association,Arsenyev Aviation Production Association,1
Asa Pesada,Asa Pesada,1
Asian Spirit,Asian Spirit,1
Asiana Airlines,Asiana Airlines,1
Aspring Air,Aspring Air,1
Associated Air Transport,Associated Air Transport,1
Associated Airways,Associated Airways,2
Associated Aviators,Associated Aviators,1
Astrd Wing Aviaiton - Air Taxi,Astrd Wing Aviaiton - Air Taxi,1
Astro Air Taxi,Astro Air Taxi,1
AtlantiAirlines,AtlantiAirlines,1
AtlantiAirways,AtlantiAirways,1
AtlantiCentral Airlines,AtlantiCentral Airlines,1
AtlantiCity Airlines,AtlantiCity Airlines,1
AtlantiCoast Airlines (United Express),AtlantiCoast Airlines (United Express),1
AtlantiSoutheast Airlines,AtlantiSoutheast Airlines,3
Atlasjet Airlines,Atlasjet Airlines,1
Atran,Atran,1
Augusta Aviaiton - Air Taxi,Augusta Aviaiton - Air Taxi,1
Aurukun Air Services,Aurukun Air Services,1
Austin Airways,Austin Airways,4
Austral Lineas Aeras (Argentina),Austral Lineas Aeras (Argentina),5
Australian Aerial Services,Australian Aerial Services,1
Australian National Airways,Australian National Airways,7
Austria-Flugdienst,Austria-Flugdienst,1
Austrian Airlines,Austrian Airlines,1
Autrex,Autrex,3
Avalki Air,Avalki Air,1
Avanti Aviation -Air Taxi,Avanti Aviation -Air Taxi,1
Avensa,Avensa,7
Avesca Colombia,Avesca Colombia,1
Avia Air Aruba,Avia Air Aruba,1
Avia-Taxi,Avia-Taxi,1
Aviaco,Aviaco,9
Aviaimpex (Macedonia),Aviaimpex (Macedonia),1
Avianca,Avianca,2
Aviastar Mandiri,Aviastar Mandiri,1
Aviateca,Aviateca,6
Aviation Charter - Air Taxi,Aviation Charter - Air Taxi,3
Aviation Development Corporation,Aviation Development Corporation,1
Aviation Enterprises,Aviation Enterprises,1
Avicsa,Avicsa,1
Avio Linee Italiane,Avio Linee Italiane,3
Aviogenex (Yugoslavia),Aviogenex (Yugoslavia),1
Avion Airways,Avion Airways,1
Avionas  Banamex,Avionas  Banamex,1
Avioriprese Jet Executive,Avioriprese Jet Executive,1
Avirex,Avirex,1
Avisto,Avisto,1
Avtex Air Services,Avtex Air Services,1
Azerbaijan Airlines,Azerbaijan Airlines,3
Azerbaijani Airlines,Azerbaijani Airlines,2
Azov Avia Airlines,Azov Avia Airlines,1
Aéreo Ruta Maya,Aéreo Ruta Maya,1
Aérotaxi Cachanilla,Aérotaxi Cachanilla,1
BAFIN,BAFIN,1
BAL Bremerhaven Airline,BAL Bremerhaven Airline,1
BHS - Brazilian Helicopter Service  Air Taxi,BHS - Brazilian Helicopter Service  Air Taxi,1
BHS - Brazilian Helicopter Service Air Taxi,BHS - Brazilian Helicopter Service Air Taxi,1
BHS - Brazilian Helicopter Services,BHS - Brazilian Helicopter Services,1
BKS Air Transport,BKS Air Transport,1
BOAC,BOAC,3
Bahri Aviation,Bahri Aviation,1
Baikal Air,Baikal Air,1
Baker Aero Inc. - Taxi,Baker Aero Inc. - Taxi,1
Bakhtar Afghan Airlines,Bakhtar Afghan Airlines,3
Bako Air,Bako Air,1
Balair,Balair,1
Bali International Air Service,Bali International Air Service,4
Balkan Bulgarian Airlines,Balkan Bulgarian Airlines,9
Bangkok Airways,Bangkok Airways,1
Bangladesh Biman,Bangladesh Biman,1
Bankair,Bankair,1
Bankair Inc. - Air Taxi,Bankair Inc. - Air Taxi,1
Bar Harbor Airlines,Bar Harbor Airlines,1
Baron Aviation,Baron Aviation,2
Barrow Air Service - Air Taxi,Barrow Air Service - Air Taxi,1
Bashkirian Airlines / DHL Worldwide Express,Bashkirian Airlines / DHL Worldwide Express,1
Bassett Complany - Taxi,Bassett Complany - Taxi,1
Bavaria Flug,Bavaria Flug,1
Bay Land Aviation,Bay Land Aviation,1
Bazair,Bazair,1
Bearskin Airlines / Air Sandy,Bearskin Airlines / Air Sandy,1
Beatty Flying Service - Taxi,Beatty Flying Service - Taxi,1
Belair - Air Taxi,Belair - Air Taxi,1
Belgian International Air Services,Belgian International Air Services,1
Belize Air International Ltd.,Belize Air International Ltd.,1
Bellview Airlines,Bellview Airlines,1
Berkshire Aviation - Air Taxi,Berkshire Aviation - Air Taxi,1
Bharat Airways,Bharat Airways,1
Big Island Airlines,Big Island Airlines,2
Bimini Air Charter Inc.,Bimini Air Charter Inc.,1
Bimini Airways,Bimini Airways,1
Binter Mediterráneo,Binter Mediterráneo,1
Blackhawk Int. Airways  - Private charter,Blackhawk Int. Airways  - Private charter,1
Blue Bird Air Service,Blue Bird Air Service,1
Blue Bird Aviation,Blue Bird Aviation,1
Blue Hawaiian Helicopters,Blue Hawaiian Helicopters,1
Blue Water Aviation Services,Blue Water Aviation Services,1
Blue Wing Airlines,Blue Wing Airlines,1
Boeing Air Transport,Boeing Air Transport,6
Boeing Aircraft Company,Boeing Aircraft Company,2
Boeing KC-135E,Boeing KC-135E,1
