Operator,Operator,Total
Boise Air Service,Boise Air Service,1
Bombardier Aerospace,Bombardier Aerospace,1
Bonanza Airlines,Bonanza Airlines,1
Bond Offshore Helicopters,Bond Offshore Helicopters,1
Borneo Airways,Borneo Airways,1
Bourag Indonesia Airlines,Bourag Indonesia Airlines,1
Bouraq Indonesia Airlines,Bouraq Indonesia Airlines,2
Braathens,Braathens,2
Bradley Air Services,Bradley Air Services,3
Braniff Airlines,Braniff Airlines,10
Braniff Airways,Braniff Airways,2
Bremerton-Seattle Air Taxi / Gorst Air Lines,Bremerton-Seattle Air Taxi / Gorst Air Lines,1
Bristol 170 Freighter 31M,Bristol 170 Freighter 31M,1
Bristol Aeroplane Co.,Bristol Aeroplane Co.,1
Bristow Helicopters,Bristow Helicopters,3
Brit Air,Brit Air,1
Britannia Airways,Britannia Airways,1
Britavia,Britavia,1
British Aircraft Corporation,British Aircraft Corporation,1
British Airtours,British Airtours,1
British Airways,British Airways,8
British Airways Helicopters,British Airways Helicopters,1
British Columbia Airways,British Columbia Airways,1
British Commonwealth PacifiAirlines,British Commonwealth PacifiAirlines,1
British Eagle International Airlines,British Eagle International Airlines,2
British European Airways,British European Airways,18
British European Airways / Military - British,British European Airways / Military - British,1
British European Airways / Military - Soviet Air Force,British European Airways / Military - Soviet Air Force,1
British International Helicopters,British International Helicopters,1
British Midland Airways,British Midland Airways,2
British Overseas Airways,British Overseas Airways,25
British Overseas Airways /Qantas,British Overseas Airways /Qantas,1
British South American Airways,British South American Airways,6
British United Airways,British United Airways,1
British World Airways,British World Airways,1
Britt Airways,Britt Airways,1
Broughton Air Servces,Broughton Air Servces,1
Broward Aviation Services - Air Taxi,Broward Aviation Services - Air Taxi,1
Bruning Aviation,Bruning Aviation,1
Bruno Air,Bruno Air,1
Bruns Air Service - Air Taxi,Bruns Air Service - Air Taxi,1
Buckeye Air Service - Air Taxi,Buckeye Air Service - Air Taxi,1
Buffalo Narrows Airways,Buffalo Narrows Airways,1
Bulair TABSO,Bulair TABSO,1
Burke Air Transport,Burke Air Transport,1
Burlington Air - Air Taxi,Burlington Air - Air Taxi,1
Burlington Air Express,Burlington Air Express,1
Burma Airways,Burma Airways,11
Business Air Connection,Business Air Connection,1
Business Aircraft - Air Taxi,Business Aircraft - Air Taxi,1
Business Jet Services,Business Jet Services,1
Butler Aviation Inc.,Butler Aviation Inc.,1
By Air,By Air,1
C and C Aviaiton - Air Taxi,C and C Aviaiton - Air Taxi,1
CAAC,CAAC,8
CAAC Air TraffiManagement Bureau,CAAC Air TraffiManagement Bureau,1
CAAK,CAAK,1
CAMBA,CAMBA,1
CATA,CATA,1
CATA Linea Aerea,CATA Linea Aerea,1
CC Air,CC Air,1
CCCP,CCCP,1
CIDNA,CIDNA,6
COHATA,COHATA,1
COPA (Panama),COPA (Panama),1
CORAL Colombia,CORAL Colombia,2
CSA Czech Airlines,CSA Czech Airlines,1
CTA LanguedoRoussillon,CTA LanguedoRoussillon,1
Cable Commuter,Cable Commuter,1
Cabo Verde Airlines,Cabo Verde Airlines,1
Calair,Calair,1
Caledonian Airways,Caledonian Airways,1
California Air Charter,California Air Charter,1
California Air Freight,California Air Freight,1
California Air National Guard,California Air National Guard,1
California Aircraft,California Aircraft,1
Cambodia Air,Cambodia Air,3
Cameroon Airlines,Cameroon Airlines,4
Campagnie France Roumaine,Campagnie France Roumaine,1
Canada Jet Charters,Canada Jet Charters,1
Canadian Air Transat,Canadian Air Transat,1
Canadian Colonial Airways,Canadian Colonial Airways,1
Canadian PacifiAir Lines,Canadian PacifiAir Lines,10
Canair Cargo,Canair Cargo,1
Canair Corp. - Air Taxi,Canair Corp. - Air Taxi,1
Canairelief Air,Canairelief Air,1
Cape Smythe Air Service,Cape Smythe Air Service,1
Capital Airlines,Capital Airlines,8
Capital Airlines / Military - Air National Guard,Capital Airlines / Military - Air National Guard,1
Capital Airlines Inc.,Capital Airlines Inc.,1
Capital Taxi Aereo,Capital Taxi Aereo,1
Capitol Air Service - Air Taxi,Capitol Air Service - Air Taxi,2
Capitol Airways,Capitol Airways,2
Care Flight International,Care Flight International,1
Carga Aereo Transportada,Carga Aereo Transportada,1
Carga del Caribe,Carga del Caribe,1
Cargo Three Panama,Cargo Three Panama,1
Cargolux,Cargolux,1
Carib Air Transport,Carib Air Transport,1
Caribbean Air Carrier - Air Taxi,Caribbean Air Carrier - Air Taxi,1
Caribbean Airlines,Caribbean Airlines,1
Caribbean International Airways,Caribbean International Airways,1
Carvair ATL-98,Carvair ATL-98,1
Cascade Airways,Cascade Airways,2
Casino Air - Air Taxi,Casino Air - Air Taxi,1
Castle Aviation,Castle Aviation,1
Catalina - Vega - Air Taxi,Catalina - Vega - Air Taxi,1
Catalina Airlines,Catalina Airlines,1
Cathay PacifiAirways,Cathay PacifiAirways,5
Cebu PacifiAir,Cebu PacifiAir,1
Central  Airlines,Central  Airlines,1
Central African Airways,Central African Airways,3
Central Air Services,Central Air Services,1
Central Air Transport,Central Air Transport,2
Central Airlines,Central Airlines,1
Central Mountain Air Services,Central Mountain Air Services,4
Centurian Air Cargo,Centurian Air Cargo,1
Century Air Lines,Century Air Lines,1
Century PacifiLines,Century PacifiLines,1
Ceskoslovenske Aerolinie,Ceskoslovenske Aerolinie,16
Ceskoslovenské Aerolinie,Ceskoslovenské Aerolinie,2
Cessnyca,Cessnyca,1
Chaillotine Air Service,Chaillotine Air Service,1
Chalk's International Airlines,Chalk's International Airlines,1
Chalk's Ocean Airways,Chalk's Ocean Airways,1
Chamberlin Flying Service,Chamberlin Flying Service,1
Channel Air Lift,Channel Air Lift,1
Channel Express,Channel Express,1
Channel Flying Service - Air Taxi,Channel Flying Service - Air Taxi,2
Chartair - Air Taxi,Chartair - Air Taxi,2
Charter,Charter,1
Charter - Aerotaxi,Charter - Aerotaxi,1
Charter - Air Adventures New Zealand Ltd,Charter - Air Adventures New Zealand Ltd,1
Charter - Air Cush,Charter - Air Cush,1
Charter - Central Air,Charter - Central Air,1
Charter - Flightline Charter Services,Charter - Flightline Charter Services,1
Charter - IRS Aero,Charter - IRS Aero,1
Charter - Maniema Union (owner Victoria Air),Charter - Maniema Union (owner Victoria Air),1
Charter - Private,Charter - Private,1
Charter - Twin Air HB,Charter - Twin Air HB,1
Charter -Federal Electricity Commission,Charter -Federal Electricity Commission,1
"Charter, Golden Eagle Aviation Inc.","Charter, Golden Eagle Aviation Inc.",1
Chelan Air Service,Chelan Air Service,1
Cheremshanka Airlines,Cheremshanka Airlines,1
Chester Airport,Chester Airport,1
Chicago Helicopter Airways,Chicago Helicopter Airways,1
Chicago Southern Airlines,Chicago Southern Airlines,2
Chicago and Southern Airlines,Chicago and Southern Airlines,1
Chicago-Detroit Airways,Chicago-Detroit Airways,1
China Air Lines,China Air Lines,1
China Airlines (Taiwan),China Airlines (Taiwan),14
China Eastern Airlines,China Eastern Airlines,4
China Flying Dragon Aviation (Feilong Airlines),China Flying Dragon Aviation (Feilong Airlines),1
China General Aviation Corporation,China General Aviation Corporation,1
China National Aviation Corporation,China National Aviation Corporation,44
China Northern Airlines,China Northern Airlines,2
China Northwest Airlines,China Northwest Airlines,2
China Southern Airlines,China Southern Airlines,2
China Southwest Airlines,China Southwest Airlines,2
China Southwest Airlines / Xiamen Airlines,China Southwest Airlines / Xiamen Airlines,1
Chugiak Aviation - Air Taxi,Chugiak Aviation - Air Taxi,1
Churchill Falls Co.,Churchill Falls Co.,1
Cia Brasiliera de Tratores,Cia Brasiliera de Tratores,1
Cie Air Transport,Cie Air Transport,1
Cie des Messageries Aeriennes,Cie des Messageries Aeriennes,1
Circuit City Stores - Charter,Circuit City Stores - Charter,1
City-Jet,City-Jet,1
Civil Air Transport,Civil Air Transport,5
Clarkes Thunder - Air Taxi,Clarkes Thunder - Air Taxi,1
ClassiWings,ClassiWings,1
Coastal Air Lines,Coastal Air Lines,1
Coastal Cargo,Coastal Cargo,1
College of the Ozarks,College of the Ozarks,1
Colonial Air Transport,Colonial Air Transport,6
Colonial Western Airlines,Colonial Western Airlines,2
Columbia Air Cargo,Columbia Air Cargo,1
Columbia PacifiAirlines,Columbia PacifiAirlines,1
Comair,Comair,3
Commercial Air Taxi,Commercial Air Taxi,11
Commercial Airways,Commercial Airways,1
Commercial Airways (Comair),Commercial Airways (Comair),1
Commutair,Commutair,1
Commuter Airline - Air Taxi,Commuter Airline - Air Taxi,1
Compagnie Air Transport,Compagnie Air Transport,1
Compagnie Internationale de Navigation Aérienne,Compagnie Internationale de Navigation Aérienne,1
Compagnie Sila,Compagnie Sila,1
Compania Dominicana de Aviacion,Compania Dominicana de Aviacion,1
Compania Mexicana de Aviacion,Compania Mexicana de Aviacion,1
Compania de Aviacion Faucett SA (Peru),Compania de Aviacion Faucett SA (Peru),1
Compania de Mexico,Compania de Mexico,1
ComvaAviation,ComvaAviation,1
Condor Flugdienst,Condor Flugdienst,1
Conesul Taxi Aéreo,Conesul Taxi Aéreo,1
Congo Airline,Congo Airline,1
Connair,Connair,1
Connie Kalitta Services,Connie Kalitta Services,1
Conquest Airways - Air Taxi,Conquest Airways - Air Taxi,1
Continental Air Lines,Continental Air Lines,3
Continental Air Services,Continental Air Services,1
Continental Air Transport,Continental Air Transport,1
Continental Airlines,Continental Airlines,8
Continental Charters,Continental Charters,1
Continental Connection/Colgan Air,Continental Connection/Colgan Air,1
Continental Express,Continental Express,1
Continentale Deutsche Luftreederei,Continentale Deutsche Luftreederei,1
Conviasa,Conviasa,1
Cooper Skybird Air Charters,Cooper Skybird Air Charters,1
Copterline,Copterline,1
Cordova Airlines,Cordova Airlines,2
Corp. Aeronautica de Transportes,Corp. Aeronautica de Transportes,1
Corporacion Boliviano de Fomento,Corporacion Boliviano de Fomento,1
Corporate Air,Corporate Air,1
Corporate Air - Air Taxi,Corporate Air - Air Taxi,1
Corporate Airlines (American Connection),Corporate Airlines (American Connection),1
Corporate Mobility Inc. - Private,Corporate Mobility Inc. - Private,1
Costal Airway,Costal Airway,1
Cougar Helicopters,Cougar Helicopters,1
Coval Air,Coval Air,1
Crasa - Air Taxi,Crasa - Air Taxi,1
Crest Airlines - Air Taxi,Crest Airlines - Air Taxi,1
Cross Airways,Cross Airways,1
Crossair,Crossair,2
Cruzeiro,Cruzeiro,14
Cruzeiro Do Sud,Cruzeiro Do Sud,1
Cruzeiro do Sul,Cruzeiro do Sul,2
Cubana de Aviacion,Cubana de Aviacion,15
Cubana de Aviacion / Military -  US Navy,Cubana de Aviacion / Military -  US Navy,1
Cubana de Aviacon,Cubana de Aviacon,2
Cunard Eagle Airways,Cunard Eagle Airways,1
Currey Air Transport,Currey Air Transport,1
Curtiss-Reid Flying Services Ltd. (Canada),Curtiss-Reid Flying Services Ltd. (Canada),1
Custom Air Service,Custom Air Service,1
DHL,DHL,1
DHL Aviation Africa,DHL Aviation Africa,1
DJB Air Charter,DJB Air Charter,1
DLL,DLL,1
DNL,DNL,1
DTA Angola Airlines,DTA Angola Airlines,2
Dai Nippon,Dai Nippon,1
Daimler Airways,Daimler Airways,1
Daimler Airways / Grands Express Aeriens,Daimler Airways / Grands Express Aeriens,1
Dalmia Jain Airways,Dalmia Jain Airways,1
Dan Air Services,Dan Air Services,4
Dan-Air Services,Dan-Air Services,1
Darbhanga Aviation,Darbhanga Aviation,1
Deccan Airways,Deccan Airways,4
Del Rio Flying Service - Air Taxi,Del Rio Flying Service - Air Taxi,1
Delaware Aviation - Air Taxi,Delaware Aviation - Air Taxi,1
Delta Air Lines,Delta Air Lines,12
Delta Air Lines/ North Central Airlines,Delta Air Lines/ North Central Airlines,1
Deming Flying Service - Air Taxi,Deming Flying Service - Air Taxi,1
Den Norske Luftfartskole,Den Norske Luftfartskole,1
Denver Air Center,Denver Air Center,1
Deraps Aviation,Deraps Aviation,1
Deraya Air Taxi,Deraya Air Taxi,1
Derby Aviation,Derby Aviation,1
Deruluft,Deruluft,3
Det Danske Luftfartselskab,Det Danske Luftfartselskab,1
Deutche Lufthansa,Deutche Lufthansa,1
Deutsche Flugdienst,Deutsche Flugdienst,1
Deutsche Lufthansa,Deutsche Lufthansa,65
Deutsche Zeppelin Reederei,Deutsche Zeppelin Reederei,1
Devener Flying Service - Taxi,Devener Flying Service - Taxi,1
Devlet Hava Yollairi,Devlet Hava Yollairi,1
Devlet Hava Yollari,Devlet Hava Yollari,4
Dirgantara Air Service,Dirgantara Air Service,1
Dirgantara Air Services,Dirgantara Air Services,5
Djibouti Airlines,Djibouti Airlines,2
Dodita Air Cargo,Dodita Air Cargo,1
Dominicana,Dominicana,1
Dominion Air Lines,Dominion Air Lines,1
Don Everall Aviation,Don Everall Aviation,1
Don Zimmerman - Air Taxi,Don Zimmerman - Air Taxi,1
Douglas Aircraft,Douglas Aircraft,1
Douglas Aircraft Company,Douglas Aircraft Company,1
Douglas Airways,Douglas Airways,3
Downeast Airlines,Downeast Airlines,2
Duncan Aircraft Sales,Duncan Aircraft Sales,1
Dunlap Aviation - Air Taxi,Dunlap Aviation - Air Taxi,1
Dutch Continental Airways,Dutch Continental Airways,1
Dutch Dakota Association,Dutch Dakota Association,1
Dwyer Flying Service - Private Charter,Dwyer Flying Service - Private Charter,1
E.A.S. Aeroservizi,E.A.S. Aeroservizi,1
EAS Airlines (Executive Airline Services),EAS Airlines (Executive Airline Services),1
EDELCA,EDELCA,1
ELK Aviation Co. (leased from Eminex),ELK Aviation Co. (leased from Eminex),1
ERA Aviation - Air Taxi,ERA Aviation - Air Taxi,1
ERA Helicopter,ERA Helicopter,1
ETA - Empresa Transportes Aéreos,ETA - Empresa Transportes Aéreos,1
EXA Inc.,EXA Inc.,1
Eagle Air,Eagle Air,3
Eagle Airways,Eagle Airways,1
Eagle Aviation,Eagle Aviation,3
Eagle Cap Leasing,Eagle Cap Leasing,1
Eagle Commuter,Eagle Commuter,1
Eagle Flight - Air Taxi,Eagle Flight - Air Taxi,1
East African Air Charters,East African Air Charters,1
East African Airways,East African Airways,2
East Anglian Flying Services,East Anglian Flying Services,1
East Coast Air - Air Taxi,East Coast Air - Air Taxi,1
East Coast Jets,East Coast Jets,1
East Indonesia Air Taxi,East Indonesia Air Taxi,1
East Provincial Airways,East Provincial Airways,1
Eastern Air Lines,Eastern Air Lines,25
Eastern Air Lines / Military - Bolivian Air Force,Eastern Air Lines / Military - Bolivian Air Force,1
Eastern Air Lines / Military - U.S. Army Air Corps,Eastern Air Lines / Military - U.S. Army Air Corps,1
Eastern Air Lines / Military - USN,Eastern Air Lines / Military - USN,1
Eastern Air Transport,Eastern Air Transport,2
Eastern Provincial Airways,Eastern Provincial Airways,2
Ecuatair,Ecuatair,1
Ecuato Guineana de Aviacion,Ecuato Guineana de Aviacion,1
Edde Airlines,Edde Airlines,1
Edinburgh Air Charter,Edinburgh Air Charter,1
EgyptAir,EgyptAir,9
Eitos,Eitos,1
Ejercito del Aire,Ejercito del Aire,1
El Al,El Al,4
El Magal Aviation,El Magal Aviation,1
Elbee Airlines,Elbee Airlines,1
Embry Riddle Company,Embry Riddle Company,1
Emery Worldwide,Emery Worldwide,2
Emirates Air Transport,Emirates Air Transport,1
Empire Airlines,Empire Airlines,2
Empresa Aviacion del Pacifico,Empresa Aviacion del Pacifico,1
Empresa Nacional de Transp.  Trabalho Aereo,Empresa Nacional de Transp.  Trabalho Aereo,1
Empressa Commun. Aéreas de Veracruz,Empressa Commun. Aéreas de Veracruz,1
Enimex,Enimex,1
Era Helicopter - Air Taxi,Era Helicopter - Air Taxi,1
Ethiopian Airlines,Ethiopian Airlines,13
Eurasia,Eurasia,1
Eureka Aero Inc. - Air Taxi,Eureka Aero Inc. - Air Taxi,1
Euro Asia Aviation,Euro Asia Aviation,1
Euroair,Euroair,1
Eurojet Italila,Eurojet Italila,1
Europe Aero Service EAS,Europe Aero Service EAS,1
Everest Air,Everest Air,1
"Evergreen Alaska Helicopters, Inc.","Evergreen Alaska Helicopters, Inc.",1
Evergreen Helicopter - Air Taxi,Evergreen Helicopter - Air Taxi,2
Evergreen International Airlines,Evergreen International Airlines,1
Evolga,Evolga,1
Executive Air - Air Taxi,Executive Air - Air Taxi,2
Executive Airlines,Executive Airlines,1
Executive Funds,Executive Funds,1
Executive Jet Sales Inc.,Executive Jet Sales Inc.,1
Exportada De Sal S.A.,Exportada De Sal S.A.,1
Express Airlines - Northwest Airlink,Express Airlines - Northwest Airlink,1
Expresso Aéreo,Expresso Aéreo,2
F.R. de la Direccion General de Ados,F.R. de la Direccion General de Ados,1
FAMA (Argentina),FAMA (Argentina),1
Fairbanks Air - Air Taxi,Fairbanks Air - Air Taxi,1
Fairbanks Air Service - Taxi,Fairbanks Air Service - Taxi,1
Fairflight Ltd.,Fairflight Ltd.,1
Fairways,Fairways,1
Falcon Airways - Air Taxi,Falcon Airways - Air Taxi,1
Falcon Aviation Group,Falcon Aviation Group,1
Far Aviation - Air Taxi / Speeds Flying - Air Taxi,Far Aviation - Air Taxi / Speeds Flying - Air Taxi,1
Far East Aviation,Far East Aviation,1
Far Eastern Air Transport,Far Eastern Air Transport,6
Faraz Qeshm Airlines,Faraz Qeshm Airlines,1
Farnair Hungary,Farnair Hungary,1
Faucett,Faucett,10
FedEx,FedEx,2
Federal Airlines,Federal Airlines,1
Federal Express,Federal Express,2
Festus Flying Service - Air Taxi,Festus Flying Service - Air Taxi,1
Fiji Air,Fiji Air,1
Fiji Air Services,Fiji Air Services,1
Filipinas Orient Airways,Filipinas Orient Airways,1
Fine Air,Fine Air,1
Finnair,Finnair,2
First Air,First Air,1
Flamingo Airlines - Air Taxi,Flamingo Airlines - Air Taxi,1
Flash Air,Flash Air,1
Fleming Airways System Transport,Fleming Airways System Transport,1
Fleming International Airways,Fleming International Airways,1
Flight Safety Australia,Flight Safety Australia,1
Flight Service,Flight Service,1
Flightline,Flightline,1
Florida Commuter Airlines,Florida Commuter Airlines,1
Flota Aérea Mercante Argentina,Flota Aérea Mercante Argentina,3
Flugefelag,Flugefelag,1
Flugfelag Austurlands,Flugfelag Austurlands,1
Fly 540,Fly 540,1
Flying Tiger Line,Flying Tiger Line,11
Flying W Airways,Flying W Airways,1
Flynn's Ferry Service,Flynn's Ferry Service,1
Force Area Populaire de Angola,Force Area Populaire de Angola,1
Ford Air Freight Inc.,Ford Air Freight Inc.,1
Formosa Airlines,Formosa Airlines,5
Fortaire Aviation - Air Taxi,Fortaire Aviation - Air Taxi,1
Foster Aviation,Foster Aviation,1
Fragtflug,Fragtflug,1
Francisco Cruz,Francisco Cruz,1
Franco-Roumaine,Franco-Roumaine,1
Fred Olsen Flyveselskap,Fred Olsen Flyveselskap,1
Freedom International,Freedom International,1
Frigorifico Cooperativo Los Andes,Frigorifico Cooperativo Los Andes,1
Frigorifico Maniqui,Frigorifico Maniqui,1
Frigorifico Reyes,Frigorifico Reyes,1
Frigorifico Santa Rita,Frigorifico Santa Rita,1
Frontier Air,Frontier Air,1
Frontier Airlines,Frontier Airlines,2
Frontier Flying Service,Frontier Flying Service,1
Frontier Flying Service - Air Taxi,Frontier Flying Service - Air Taxi,2
Fuerza Area Angolaise,Fuerza Area Angolaise,1
Fuerza Aérea Argentina,Fuerza Aérea Argentina,4
Fuerza Aérea Colombiana,Fuerza Aérea Colombiana,1
Fuerza Aérea Nicaragua,Fuerza Aérea Nicaragua,1
Fuerza Aérea Panamena,Fuerza Aérea Panamena,1
Fuerza Aérea Uruguaya,Fuerza Aérea Uruguaya,1
Fuerza Aérea Venezolana,Fuerza Aérea Venezolana,1
Fuerza Aérea del Peru,Fuerza Aérea del Peru,6
Fuji Airlines,Fuji Airlines,1
Fujita Koku Kabushki Kai,Fujita Koku Kabushki Kai,1
Fun Air,Fun Air,1
G & W Aviation,G & W Aviation,1
GAS Air,GAS Air,1
GLM Aviation,GLM Aviation,1
GP Express Airlines,GP Express Airlines,2
GT Air,GT Air,1
Gabon Express,Gabon Express,1
Gaige Aviation - Air Taxi,Gaige Aviation - Air Taxi,1
Galaxy Airlines,Galaxy Airlines,1
Galaxy Kavatsi Airlines,Galaxy Kavatsi Airlines,1
Galena Air Service - Air Taxi,Galena Air Service - Air Taxi,2
Galesburg Aviation - Air Taxi,Galesburg Aviation - Air Taxi,1
Gambcrest,Gambcrest,1
Gander Aviation,Gander Aviation,1
Garamut Aviation,Garamut Aviation,1
Garuda  Indonesia Airlines / Garuda Indonesia Airlines,Garuda  Indonesia Airlines / Garuda Indonesia Airlines,1
Garuda Indonesia Airlines,Garuda Indonesia Airlines,19
Gastonia Aviation - Taxi,Gastonia Aviation - Taxi,1
Gay Airways - Air Taxi,Gay Airways - Air Taxi,2
General Air,General Air,1
General Airways,General Airways,2
General Aviation Inc.,General Aviation Inc.,1
Georgia Express,Georgia Express,1
Georgian Air,Georgian Air,1
Geoterrex,Geoterrex,1
Ghana Airlink,Ghana Airlink,1
Ghana Airways,Ghana Airways,1
Ginger Coote Airways,Ginger Coote Airways,1
Gira Globo Charter,Gira Globo Charter,1
Global Executive Aviation,Global Executive Aviation,1
Globe Air,Globe Air,1
Glow Air/Air Castle - Charter,Glow Air/Air Castle - Charter,1
Gol Airlines / Private,Gol Airlines / Private,1
Golden Star Air Cargo,Golden Star Air Cargo,1
Golden West Airlines / Private,Golden West Airlines / Private,1
Goose Bay Air Services,Goose Bay Air Services,1
Gor'ky Eskadril'ya,Gor'ky Eskadril'ya,1
Goroka Air Services,Goroka Air Services,1
Government of Mozambique,Government of Mozambique,1
Grand Aire,Grand Aire,1
Grand Canyon Air - Air Taxi,Grand Canyon Air - Air Taxi,1
Grand Canyon Airlines,Grand Canyon Airlines,2
Grand Canyon Airlines / Helitech,Grand Canyon Airlines / Helitech,1
Grands Express Aeriens,Grands Express Aeriens,10
Great Lakes Business Complany,Great Lakes Business Complany,1
Great Western and Southern Air Lines,Great Western and Southern Air Lines,1
Greek Government,Greek Government,1
Green Acres - Air Taxi,Green Acres - Air Taxi,1
Green River Aviation - Air Taxi,Green River Aviation - Air Taxi,1
Greenbriar Airways,Greenbriar Airways,1
Greylock Airways / Private,Greylock Airways / Private,1
Guardia Nacional de Venezuela,Guardia Nacional de Venezuela,1
Guernsey Airways,Guernsey Airways,1
Guiena Airways,Guiena Airways,1
Guinea Airways,Guinea Airways,3
Guinea Airways Limited,Guinea Airways Limited,1
Gulf Air,Gulf Air,2
Gulf Aviation (Kalinga Airways),Gulf Aviation (Kalinga Airways),1
Gum Air Charter,Gum Air Charter,1
Guyana Airways,Guyana Airways,1
Hageland Aviation Services,Hageland Aviation Services,2
Haines Airways - Air Taxi,Haines Airways - Air Taxi,1
Hallo Bay Air - Air Taxi,Hallo Bay Air - Air Taxi,1
Halvorson - Air Taxi,Halvorson - Air Taxi,1
Hamilton Aviation,Hamilton Aviation,1
Handley Page Transport,Handley Page Transport,2
Hang Khong (Vietnam),Hang Khong (Vietnam),1
Hankins Airways - Air Taxi,Hankins Airways - Air Taxi,1
Harbor Airlines - Air Taxi,Harbor Airlines - Air Taxi,1
Harbour Air,Harbour Air,1
Harbour Air Seaplanes Ltd.,Harbour Air Seaplanes Ltd.,1
Hargreaves Airways,Hargreaves Airways,1
Harka Air Services,Harka Air Services,1
Harold E. Bell - Air Taxi,Harold E. Bell - Air Taxi,1
Harold's Air Service,Harold's Air Service,1
Harrington's Inc,Harrington's Inc,1
Harry Faulkner - Air Taxi,Harry Faulkner - Air Taxi,1
Harvey's Flying Service - Air Taxi,Harvey's Flying Service - Air Taxi,1
Hati Express,Hati Express,1
Havasu City Air - Air Taxi,Havasu City Air - Air Taxi,1
Haïti Air Inter,Haïti Air Inter,2
Heavylift Cargo Airlines,Heavylift Cargo Airlines,1
Helaire Helicopter,Helaire Helicopter,1
Heli-USA Airways,Heli-USA Airways,1
"Heli-USA Airways, In- Air Taxi","Heli-USA Airways, In- Air Taxi",1
Heliandes,Heliandes,1
Helicol Colombia,Helicol Colombia,1
Helicopter - Air Taxi,Helicopter - Air Taxi,1
Helicopteros Nacionales de Colombia,Helicopteros Nacionales de Colombia,1
Helicsa,Helicsa,1
Helikopter Service,Helikopter Service,1
Helios Airways,Helios Airways,1
Helisul Taxi Aéreo,Helisul Taxi Aéreo,1
Heliwork WA Pty Ltd. - Air Taxi,Heliwork WA Pty Ltd. - Air Taxi,1
Henry Nichols - Air Taxi,Henry Nichols - Air Taxi,1
Henry Webber Air - Air Taxi,Henry Webber Air - Air Taxi,1
Heringer Air Taxi,Heringer Air Taxi,1
Hesler Noble - Air Taxi,Hesler Noble - Air Taxi,1
Hewa Bora Airways,Hewa Bora Airways,1
HiTech Helicopters,HiTech Helicopters,1
Hibiscus Air,Hibiscus Air,1
Himmelsschreiber,Himmelsschreiber,1
Hlavka Aviation - Air Taxi,Hlavka Aviation - Air Taxi,1
Holdens Air Transport Service,Holdens Air Transport Service,1
Holmstoem Air,Holmstoem Air,1
Holyman Airways,Holyman Airways,3
Homer Air Service - Air Taxi,Homer Air Service - Air Taxi,1
Horizon Properties,Horizon Properties,1
Hornbill Airways,Hornbill Airways,1
Hoseba,Hoseba,1
Houston Metro Airlines,Houston Metro Airlines,1
Houston-Beech - Air Taxi,Houston-Beech - Air Taxi,1
Hudgin Air Service,Hudgin Air Service,1
Hudson Air Service - Air Taxi,Hudson Air Service - Air Taxi,1
Hughes Airwest  / Military - US Marine Air Corps,Hughes Airwest  / Military - US Marine Air Corps,1
Hunter Airways,Hunter Airways,1
Hunting Air Travel,Hunting Air Travel,2
Huron Air,Huron Air,1
Hyannis Air Service - Air Taxi,Hyannis Air Service - Air Taxi,1
IAI 1124 Westwind,IAI 1124 Westwind,1
IAS Cargo,IAS Cargo,1
IMSS,IMSS,1
Iberia Airlines,Iberia Airlines,12
Iberia Airlines / Aviaco,Iberia Airlines / Aviaco,1
Ibertrans Aérea,Ibertrans Aérea,1
Icelandair,Icelandair,3
Imperial Airways,Imperial Airways,22
Imperial Comm - Air Taxi,Imperial Comm - Air Taxi,1
Inair Panama,Inair Panama,1
Indamer,Indamer,3
Independent Air Inc.,Independent Air Inc.,1
Independent Air Travel,Independent Air Travel,1
Indian Airlines,Indian Airlines,34
Indian Airlines/Alliance Airlines,Indian Airlines/Alliance Airlines,1
Indian National Airlines,Indian National Airlines,2
Indian National Airways,Indian National Airways,1
Indonesian National Police,Indonesian National Police,1
Inex Adria Aviopromet,Inex Adria Aviopromet,1
Inex Adria Aviopromet (Yugoslavia),Inex Adria Aviopromet (Yugoslavia),1
Inex Adria Aviopromet / British Airways,Inex Adria Aviopromet / British Airways,1
Inland Aviation - Air Taxi,Inland Aviation - Air Taxi,1
Inter City Flug,Inter City Flug,1
Inter Island Air - Air Taxi,Inter Island Air - Air Taxi,1
Inter Island Air Services,Inter Island Air Services,1
Inter-Island,Inter-Island,1
Interamericana de Aviacion,Interamericana de Aviacion,1
Intercontinental de Aviacion,Intercontinental de Aviacion,1
Interflug,Interflug,4
Interior Airways,Interior Airways,1
Interior Airways - Air Taxi,Interior Airways - Air Taxi,1
International Air Freight,International Air Freight,1
International Control Commision,International Control Commision,1
International Jet Charter,International Jet Charter,1
Interocean,Interocean,1
Interstate Airlines,Interstate Airlines,1
Intracostals - Air Taxi,Intracostals - Air Taxi,1
Inuvik Coastal Airways,Inuvik Coastal Airways,1
Invicta International Airlines (UK),Invicta International Airlines (UK),1
Iran Air,Iran Air,6
Iran Air Tours,Iran Air Tours,2
Iran Air Tours  /  Military - Iranian Air Force,Iran Air Tours  /  Military - Iranian Air Force,1
Iran Asseman Airlines,Iran Asseman Airlines,1
Iran National Airlines,Iran National Airlines,1
Iraqi Airways,Iraqi Airways,2
Island Air,Island Air,2
Island Airways,Island Airways,2
Island Airways Ltd.,Island Airways Ltd.,1
Island Express Helicopter Service,Island Express Helicopter Service,1
